quadgram,chi-square
"('Cell', 'wall', 'hydrolase', 'SleB')",5085907230.691507
"('transporter', 'substrate-binding', 'protein', 'PnrA-like')",5062224143.541873
"('Biopolymer', 'transport', 'protein', 'ExbD/TolR')",5061534271.670902
"('guanyl-nucleotide', 'exchange', 'factor', 'activity')",5004515975.852416
"('family,4Fe-4S', 'single', 'cluster', 'domain')",4959332550.163507
"('Outer', 'membrane', 'protein', 'Omp28')",4953285150.854973
"('ABC-type', 'cobalt', 'transport', 'system')",4947071877.603134
"('ABC-type', 'oligopeptide', 'transport', 'system')",4947070111.146036
"('Threonine', 'alanine', 'tRNA', 'ligase')",4887684291.708152
"('subunit', 'Fumarate', 'hydratase', 'class')",4880960916.091459
"('NOG19089', 'non', 'supervised', 'orthologous')",4853111492.885341
"('glutamate', 'synthase', 'beta', 'chain')",4841362902.020445
"('HTH', 'DNA-binding', 'domain,2-oxoacid', 'acceptor')",4794240670.365398
"('phage', 'tail', 'tape', 'measure')",4778090302.495857
"('shaft', 'protein', 'Bacteriophage', 'A118')",4777868998.139215
"('Bacteriophage', 'phiYeO3-12', '1.45', 'protein')",4777868931.978807
"('methylmalonyl-CoA', 'mutase', 'small', 'subunit')",4771662851.959193
"('sulfur', 'carrier', 'protein', 'ThiS')",4769750825.081155
"('COG', 'NOG20168', 'non', 'supervised')",4741812912.375174
"(',Phage', 'gp6-like', 'head-tail', 'connector')",4730937741.44338
"('Glycyl-tRNA', 'synthetase', 'beta', 'subunit')",4700738794.234201
"('phenylalanyl-tRNA', 'synthetase', 'beta', 'subunit')",4700712173.142527
"('polymerase', 'specialized', 'sigma', 'subunit')",4657651452.460127
"('Shikimate', 'dehydrogenase', 'substrate', 'binding')",4487483038.090527
"('family,23S', 'rRNA-intervening', 'sequence', 'protein')",4443824703.052484
"('Bacteriophage', 'holin', 'family,2-hydroxyglutaryl-CoA', 'dehydratase')",4434373264.616825
"('PFAM', 'UvrD', 'REP', 'helicase')",4428928012.42667
"('DNA', 'polymerase', 'exhibits', ""5'-3"")",4392099433.25762
"('tRNA', 'ligase', 'second', 'additional')",4381023138.333808
"('Putative', 'aromatic', 'acid', 'exporter')",4380724039.803255
"('helix-turn-helix', 'protein,4Fe-4S', 'iron', 'sulfur')",4364330857.012639
"('molybdenum', 'hydroxylase', 'system', 'protein')",4352094490.696267
"('XRE-family', 'like', 'proteins,4Fe-4S', 'single')",4340190220.177772
"('COG', 'COG0740', 'Protease', 'subunit')",4334434360.097261
"('double-strand', 'break', 'repair', 'protein')",4327439017.478332
"('NOG09493', 'non', 'supervised', 'orthologous')",4323133858.803081
"('NOG22561', 'non', 'supervised', 'orthologous')",4323133858.803081
"('biosynthesis', 'bifunctional', 'protein', 'HisB')",4318093671.850649
"('function', 'transcriptional', 'attenuator', 'common')",4263292292.070435
"('Serine', 'dehydratase', 'beta', 'chain')",4239565083.927507
"('Gram-negative', 'bacterial', 'TonB', 'protein')",4229969309.260602
"('Cold-shock', 'DNA-binding', 'domain', 'protein,4')",4203604662.930434
"('DNA', 'unwinding', 'activity', 'characteristic')",4189862030.5289645
"('domain,4Fe-4S', 'single', 'cluster', 'domain')",4186720148.617992
"('Bacterial', 'periplasmic', 'substrate-binding', 'proteins')",4166369558.8779445
"('nucleotide-binding', 'protein', 'containing', 'TIR-like')",4115970119.7032733
"('PFAM', 'Phage', 'late', 'control')",4114353232.197723
"('viral', 'recombinase', 'family,4Fe-4S', 'iron')",4109264522.9636884
"('Ferrous', 'iron', 'transport', 'protein')",4107646662.297424
"('COG', 'NOG24226', 'non', 'supervised')",4069139875.6750827
"('CAAX', 'amino', 'terminal', 'protease')",4057811398.6129236
"('transcriptional', 'preinitiation', 'complex', 'assembly')",4020430015.253004
"('Receptor', 'family', 'ligand', 'binding')",4000297969.884984
"('score', '10.00,4Fe-4S', 'single', 'cluster')",3966437993.4596167
"('J-like', 'protein,23S', 'rRNA-intervening', 'sequence')",3962817196.506977
"('Protein', 'X,4Fe-4S', 'single', 'cluster')",3957040082.382709
"('N-terminal', 'domain,4Fe-4S', 'single', 'cluster')",3948046199.1909766
"('sulfur', 'cluster', 'binding', 'proteins')",3921269556.970007
"('DNA-binding', 'domain,4Fe-4S', 'single', 'cluster')",3920700494.7631273
"('Putative', 'glycoside', 'hydrolase', 'Family')",3850101484.812524
"('XRE-family', 'like', 'proteins,4Fe-4S', 'iron')",3837066454.7478247
"('various', 'ABC-type', 'transport', 'systems')",3827954535.2503715
"('NOG14118', 'non', 'supervised', 'orthologous')",3793157621.44795
"('NOG18028', 'non', 'supervised', 'orthologous')",3793157621.44795
"('Methylmalonyl-CoA', 'mutase,4Fe-4S', 'binding', 'domain')",3745517472.296487
"('Cyclic', 'nucleotide-monophosphate', 'binding', 'domain')",3745517459.198449
"('Bacterial', 'conjugation', 'TrbI-like', 'protein')",3744205080.756525
"('COG', 'NOG06285', 'non', 'supervised')",3732804686.926854
"('COG', 'NOG08812', 'non', 'supervised')",3732804686.926854
"('COG', 'NOG28280', 'non', 'supervised')",3732804686.926854
"('subunit,4Fe-4S', 'single', 'cluster', 'domain')",3723328707.247327
"('MazG', 'nucleotide', 'pyrophosphohydrolase', ""domain,5'-3"")",3716882841.3017783
"('protein', 'contains', 'double-stranded', 'beta-helix')",3690414098.4592338
"('Glutathione', 'synthase', 'Ribosomal', 'protein')",3673112679.544272
"('Cell', 'shape', 'determining', 'protein')",3673112583.247598
"('Helicase', 'conserved', 'C-terminal', 'domain')",3666196165.423867
"('Protein', 'X,4Fe-4S', 'iron', 'sulfur')",3647807077.6044
"('CASCADE', 'complex', 'protein', 'CasA,3')",3635159070.692905
"('polar', 'amino', 'acid', 'ABC')",3626877586.908699
"('mechanosensitive', 'ion', 'channel', 'activity')",3625228826.5506163
"('DNA-binding', 'domain,4Fe-4S', 'iron', 'sulfur')",3614310815.063524
"('N-6', 'DNA', 'Methylase,4Fe-4S', 'single')",3600643699.1222844
"('sugar', 'transport', 'systems', 'permease')",3585236743.1986456
"('outer', 'membrane', 'receptor', 'proteins')",3580738713.0734763
"('reductase', 'activating', 'protein,4Fe-4S', 'single')",3565878774.2616587
"('plasmid-related', 'protein', 'TIGR03299,4', 'iron')",3553900958.6134996
"('COGs', 'COG3943', 'Virulence', 'protein')",3517386089.378058
"('zinc', 'D-Ala-D-Ala', 'carboxypeptidase', 'activity')",3511518458.6523814
"('score', '8.87,2-oxoacid', 'acceptor', 'oxidoreductase')",3506096442.7643304
"('phosphate', 'regulatory', 'system', 'phoR')",3501622781.8250246
"('Prokaryotic', 'N-terminal', 'methylation', 'motif')",3489232761.3720927
"('oxaloacetate', 'decarboxylase', 'beta', 'subunit')",3473337483.5940685
"('multidrug', 'transport', 'system', 'ATPase')",3445903492.7730613
"('division', 'ATP-binding', 'protein', 'FtsE')",3403823640.558461
"('COG', 'NOG14934', 'non', 'supervised')",3396470384.575163
"('III', 'protein,36-mer', 'N-terminal', 'peptide')",3379877752.4382215
"('head-tail', 'connector', 'protein,4Fe-4S', 'single')",3317621912.1108737
"('NOG32529', 'non', 'supervised', 'orthologous')",3263182780.81443
"('terminase', 'large', 'subunit,23S', 'rRNA-intervening')",3262342429.8701982
"('Pilus', 'assembly', 'protein', 'PilX')",3260515854.7501235
"('arsenite', 'transmembrane', 'transporter', 'activity')",3254571345.144601
"('riboside', 'transmembrane', 'transporter', 'activity')",3254571345.144601
"('clamp', 'onto', 'primed', 'DNA')",3242287640.482484
"('tail', 'protein', 'L,50S', 'ribosome-binding')",3196365546.338501
"('amino', 'acid', 'transport', 'systems')",3080057637.669662
"('Tail', 'Protein', 'X,4Fe-4S', 'single')",3062069433.5660343
"('COG', 'NOG19089', 'non', 'supervised')",3060136968.6165056
"('C4-dicarboxylate', 'transport', 'system', 'permease')",3050370260.0795918
"('cellular', 'carbohydrate', 'metabolic', 'process')",3046707580.743175
"('Mu-like', 'prophage', 'protein', 'GP36')",3038644923.656337
"('COG4387', 'Mu-like', 'prophage', 'protein')",3038644923.656337
"('The', 'AP-lyase', 'activity', 'cleaves')",3033809528.633767
"('spermidine', 'putrescine', 'transport', 'system')",3008878858.43575
"('Toxin', 'secretion', 'phage', 'lysis')",2990899966.1388955
"('stress', 'resistance', 'protein', 'BhsA')",2985349340.312922
"('COG2885', 'Outer', 'membrane', 'protein')",2972344340.3516684
"('Flp', 'pilus', 'assembly', 'protein')",2964261216.6245666
"('maintenance', 'system', 'killer', 'protein')",2943945272.6229258
"('ABC-type', 'sugar', 'transport', 'system')",2935628809.4132123
"('may', 'also', 'transport', 'FMN')",2926982010.926386
"('Calcineurin-like', 'phosphoesterase', 'superfamily', 'domain')",2911807462.5900316
"('prophage', 'host-nuclease', 'inhibitor', 'protein')",2905390676.5282445
"('Toxic', 'anion', 'resistance', 'protein')",2904664204.768032
"('transporter', 'complex', 'PstSACB', 'involved')",2863444308.134993
"('transporter', 'complex', 'ZnuABC', 'involved')",2863444308.134993
"('DNA', 'Methylase,4Fe-4S', 'single', 'cluster')",2862278137.7391543
"('carboxylic', 'ester', 'hydrolase', 'activity')",2858864307.040494
"('Phage', 'Tail', 'Collar', 'Domain')",2855628690.001831
"('requires', 'integration', 'host', 'factor')",2841656770.610193
"('Response', 'regulator', 'receiver', 'domain')",2818202007.3455048
"('The', 'immediate', 'electron', 'acceptor')",2803512528.551667
"('fold,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('bacteria,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('cleavage,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('dehydrogenase,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('derivatives,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('subfamily,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('phosphatase,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('reductant,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('regulator,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('segregation,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('Terminase,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('S24-like,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('T-like,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('Flotillin,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('10.00,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('2,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('Asp,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('Cas6,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('Methylase,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('GpU,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('Helix-turn-helix,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('M15,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('Membrane,4Fe-4S', 'single', 'cluster', 'domain')",2796124170.0913515
"('proteins,4Fe-4S', 'single', 'cluster', 'domain')",2795687836.177282
"('glycyl-tRNA', 'synthetase', 'alpha', 'subunit')",2787215103.294295
"('conserved', 'hypothetical', 'protein', 'BR0599')",2736433336.8241987
"('NOG13853', 'non', 'supervised', 'orthologous')",2733209336.896999
"('NOG23194', 'non', 'supervised', 'orthologous')",2733209336.896999
"('NOG23400', 'non', 'supervised', 'orthologous')",2733209336.896999
"('NOG28221', 'non', 'supervised', 'orthologous')",2733209336.896999
"('NOG28456', 'non', 'supervised', 'orthologous')",2733209336.896999
"('NOG30624', 'non', 'supervised', 'orthologous')",2733209336.896999
"('NOG34759', 'non', 'supervised', 'orthologous')",2733209336.896999
"('COG', 'NOG22561', 'non', 'supervised')",2723804439.047377
"('COG', 'NOG09493', 'non', 'supervised')",2723804439.047377
"('116', 'kDa', 'subunit', 'family')",2713525182.867949
"('Tail', 'Protein', 'X,4Fe-4S', 'iron')",2707076224.712164
"('domain,23S', 'rRNA-intervening', 'sequence', 'protein')",2667652935.4030795
"('PFAM', 'Fic', 'DOC', 'family')",2661939638.4243164
"('double-stranded', 'RNA', 'RNA-DNA', 'hybrid')",2657974557.920701
"('O-antigen', 'ligase', 'like', 'membrane')",2648333188.8640375
"('family', '2,4Fe-4S', 'single', 'cluster')",2644941896.4096737
"('AraC-like', 'ligand', 'binding', 'domain')",2643900574.614018
"('DNA', 'methyltransferase,4Fe-4S', 'iron', 'sulfur')",2638572145.6998568
"('Clp', 'protease,8-oxoguanine', 'DNA', 'glycosylase')",2636006682.4797935
"('integral', 'membrane', 'protein', 'YlbJ')",2632448623.465215
"('Swim', 'zinc', 'finger', 'domain')",2596645420.1165266
"('synthetase', 'second', 'additional', 'domain')",2592756601.0500727
"('PFAM', 'AIR', 'synthase', 'related')",2592696776.9879866
"('exhibits', 'DNA-dependent', 'ATPase', 'activity')",2592211131.2095604
"('DNA', 'synthesis,4Fe-4S', 'dicluster', 'domain')",2578506438.662108
"('dehydratase', 'alpha', 'subunit', 'Fumarate')",2574280328.711374
"('conjugative', 'transfer', 'protein', 'TrbL')",2537981707.3216815
"('Pectate', 'lyase', 'superfamily', 'protein')",2527152098.0539746
"('transporter', 'peripheral', 'membrane', 'component')",2514039172.9324236
"('RNA', 'dependent', 'RNA', 'polymerase,5')",2504049870.4063087
"('amine', 'oxidase', 'N-terminal', 'domain')",2449187625.067442
"('DNA', 'replication', 'origin', ""binding,5'-3"")",2438761192.2293706
"('score', '8.87,23S', 'rRNA-intervening', 'sequence')",2406905080.3566756
"('score', '9.99,23S', 'rRNA-intervening', 'sequence')",2406905080.3566756
"('amino', 'acid', 'transport', 'signal')",2396283583.520359
"('COG', 'NOG14118', 'non', 'supervised')",2387472795.8642755
"('COG', 'NOG18028', 'non', 'supervised')",2387472795.8642755
"('Transcription', 'termination', 'antitermination', 'factor')",2375428774.24684
"('pilus', 'assembly', 'protein', 'CpaB')",2371489517.6515427
"('YhgE', 'Pip', 'N-terminal', 'domain')",2352102498.2953014
"('U35', 'phage', 'prohead', 'HK97')",2341041997.878629
"('COG', 'COG1191', 'DNA-directed', 'RNA')",2329891093.0781417
"('assembly', 'protein,4Fe-4S', 'iron', 'sulfur')",2315547444.4925284
"('ParB-like', 'nuclease', 'domain,4Fe-4S', 'iron')",2309570073.859267
"('Peptidase', 'M16', 'inactive', 'domain')",2301687268.2911205
"('THIF-type', 'NAD', 'FAD', 'binding')",2265532354.9288774
"('electron', 'transport', 'protein', 'YkgF')",2249437853.7841015
"('YqaJ', 'viral', 'recombinase', 'family,4Fe-4S')",2239182116.4848557
"('integrase', 'family,23S', 'rRNA-intervening', 'sequence')",2230055618.7596507
"('cell', 'wall', 'binding', 'repeat')",2216009720.2104516
"('ABC-type', 'molybdenum', 'transport', 'system')",2209234166.8069773
"('NOG27661', 'non', 'supervised', 'orthologous')",2203237289.690132
"('NOG34358', 'non', 'supervised', 'orthologous')",2203237289.690132
"('NOG31012', 'non', 'supervised', 'orthologous')",2203237289.690132
"('NOG28036', 'non', 'supervised', 'orthologous')",2203237289.690132
"('NOG16623', 'non', 'supervised', 'orthologous')",2203237289.690132
"('NOG27649', 'non', 'supervised', 'orthologous')",2203237289.690132
"('NOG26858', 'non', 'supervised', 'orthologous')",2203237289.690132
"('NOG18757', 'non', 'supervised', 'orthologous')",2203237289.690132
"('transcriptional', 'attenuator', 'common', 'domain')",2200269009.290162
"('single-strand', 'binding', 'protein', 'Primosomal')",2129361464.4299662
"('capsid', 'family,23S', 'rRNA-intervening', 'sequence')",2115831485.1218848
"('Clp', 'protease', 'proteolytic', 'subunit')",2092928126.5768354
"('COG', 'COG4974', 'Site-specific', 'recombinase')",2085222039.654781
"('NAD', 'dependent', 'epimerase/dehydratase', 'family')",2083918053.8112087
"('minor', 'structural', 'protein', 'GP20')",2057847707.635916
"('COG', 'NOG32529', 'non', 'supervised')",2051142039.0636942
"('DNA', 'polymerase', 'III', 'alpha')",2046253688.162491
"('Bacterial', 'surface', 'protein', '26-residue')",2042294484.0634553
"('30S', 'pre-', 'initiation', 'complex')",2039301675.6932983
"('Terminase', 'small', 'subunit,4Fe-4S', 'iron')",2037795850.982253
"('Mu-like', 'prophage', 'protein', 'gp36')",2027138549.9727273
"('gp6-like', 'head-tail', 'connector', 'protein,4Fe-4S')",2016569251.942142
"('beta', 'dimers', 'onto', 'DNA')",2016348120.2547505
"('III', 'restriction', 'enzyme', 'res')",2000332135.5369313
"('helicase', 'DnaB', 'onto', 'DNA')",1989133503.8987942
"('Bidirectionally', 'degrades', 'single-stranded', 'DNA')",1986056302.3257608
"('wall', 'assembly', 'cell', 'proliferation')",1985779892.7260563
"('translation', 'initiation', 'factor', 'activity')",1940009627.8371582
"('NTF2-like', 'N-terminal', 'transpeptidase', 'domain')",1924139177.6519637
"('sulfuric', 'ester', 'hydrolase', 'activity')",1905931262.6615367
"('The', 'epsilon', 'subunit', 'contain')",1891263394.085484
"('crossover', 'junction', 'endodeoxyribonuclease', 'activity')",1891067440.9215856
"('potassium', 'uptake', 'protein', 'TrkA')",1884569412.4006467
"('integrase', 'family,4Fe-4S', 'iron', 'sulfur')",1847348513.7127934
"('score', '8.87,4Fe-4S', 'iron', 'sulfur')",1828290146.7924516
"('reductase', 'ferredoxin-like', 'half', 'domain')",1821641275.35394
"('PFAM', 'Class', 'III', 'signal')",1818630372.7814572
"('certain', 'DNA', 'recombination', 'reactions')",1800259860.5266316
"('fibre', 'assembly', 'protein,4Fe-4S', 'iron')",1797284808.7981894
"('DNA,23S', 'rRNA-intervening', 'sequence', 'protein')",1779570562.3126898
"('proteins,23S', 'rRNA-intervening', 'sequence', 'protein')",1779570562.3126898
"('score,23S', 'rRNA-intervening', 'sequence', 'protein')",1779570562.3126898
"('Cell', 'division', 'protein', 'FtsI')",1777362756.499678
"('The', 'resulting', 'ammonia', 'molecule')",1768919102.552412
"('thus', 'giving', 'elongation', 'factor')",1759715713.3079631
"('neurotransmitter', 'symporter', 'family,3D', 'domain')",1737243002.8840575
"('DNA', 'methylase,23S', 'rRNA-intervening', 'sequence')",1736873147.4801917
"('Peptidase', 'U35', 'phage', 'prohead')",1734539253.3680594
"('DNA-binding', 'transcriptional', 'regulator', 'Cro,3')",1733546441.961473
"('Penicillin', 'binding', 'protein', 'transpeptidase')",1719245046.9160714
"('50S', 'ribosomal', 'subunit', 'assembly')",1718241995.7472034
"('COG', 'NOG13853', 'non', 'supervised')",1714812168.642131
"('COG', 'NOG23400', 'non', 'supervised')",1714812168.642131
"('COG', 'NOG28221', 'non', 'supervised')",1714812168.642131
"('COG', 'NOG28456', 'non', 'supervised')",1714812168.642131
"('COG', 'NOG30624', 'non', 'supervised')",1714812168.642131
"('Prepilin-type', 'N-terminal', 'cleavage', 'methylation')",1713786368.2745214
"('small', 'heat', 'shock', 'protein')",1710923892.4509087
"('active', 'site', 'cysteine', 'residues')",1696932561.254901
"('region', '2,8-oxoguanine', 'DNA', 'glycosylase')",1692469792.498905
"(',ABC', 'transporter', 'substrate-binding', 'protein')",1687476283.2659628
"('NOG38840', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG33632', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG32009', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG31621', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG30576', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG23390', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG28307', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG27363', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG19079', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG23378', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG23371', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG19168', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG18738', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG16854', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG14720', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG09947', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('NOG06028', 'non', 'supervised', 'orthologous')",1673266639.1883087
"('Baseplate', 'J-like', 'protein,23S', 'rRNA-intervening')",1660213076.2406178
"('COG0389', 'Nucleotidyltransferase', 'DNA', 'polymerase')",1645949010.842574
"('tail', 'tape', 'measure', 'protein')",1635593741.8061793
"('enzyme', 'maturation', 'permease', 'component')",1616391267.4861398
"('LysR', 'substrate', 'binding', 'domain')",1614452632.6426592
"('like', 'protein,23S', 'rRNA-intervening', 'sequence')",1613971859.3739684
"('TIGRFAM', 'polar', 'amino', 'acid')",1610971282.8913305
"('Threonine', 'synthase,4Fe-4S', 'binding', 'domain')",1605222960.077741
"('Phage', 'replisome', 'organizer', 'N-terminal')",1604905869.423424
"('specific', '2-hydroxyacid', 'dehydrogenase', 'family')",1596209609.4440737
"('DNA-dependent', 'RNA', 'polymerase', 'catalyzes')",1595126406.385126
"('regulatory', 'subunit', 'binding,4Fe-4S', 'single')",1584664214.7009046
"('conserved', 'amino', 'acid', 'motif')",1579526551.2410226
"('COG1219', 'ATP-dependent', 'protease', 'Clp')",1574288589.279544
"('restriction', 'enzyme', 'HsdR', 'protein')",1574199972.4563425
"('cell', 'wall', 'anchor', 'domain')",1548985721.2791493
"('PRTRC', 'system', 'ThiF', 'family')",1538555024.386884
"('sulfur', 'carrier', 'protein', 'TusA')",1526355377.8589966
"('HTH', 'DNA-binding', 'domain,4Fe-4S', 'single')",1519771830.3257666
"('Outer', 'membrane', 'protein', 'beta-barrel')",1517703244.8519728
"('N-terminal', 'domain', 'protein,6-pyruvoyl', 'tetrahydropterin')",1514979304.9665859
"('Cro/C1-type', 'HTH', 'DNA-binding', ""domain,5'-nucleotidase"")",1498920752.1482503
"('Cro/C1-type', 'HTH', 'DNA-binding', 'domain,2-oxoacid')",1498920752.1482503
"('Phage', 'terminase', 'large', 'subunit')",1493725291.8258634
"('Virulence', 'factor', 'Mce', 'family')",1492708114.795527
"('Multiple', 'stress', 'resistance', 'protein')",1492674989.6175172
"('rna', 'small', 'subunit', 'methyltransferase')",1476732224.9197717
"('adenine-specific', 'DNA', 'methyltransferase,4Fe-4S', 'iron')",1468437024.50241
"('protein', 'Cas6,4Fe-4S', 'single', 'cluster')",1463918447.7109876
"('Putative', '2/3', 'transmembrane', 'domain')",1453697265.0248048
"('Periplasmic', 'binding', 'protein', 'LacI')",1447934789.925404
"('transporter', 'complex', 'TagGH', 'involved')",1431932472.8383737
"('transporter', 'complex', 'RbsABC', 'involved')",1431932472.8383737
"('transporter', 'complex', 'MetNIQ', 'involved')",1431932472.8383737
"('transporter', 'complex', 'FbpABC', 'involved')",1431932472.8383737
"('alanine', 'tRNA', 'ligase', 'second')",1425575619.7171495
"('CHC2', 'zinc', 'finger', 'domain')",1410171163.659569
"('X,4Fe-4S', 'single', 'cluster', 'domain')",1404662855.6774087
"('protease,4Fe-4S', 'single', 'cluster', 'domain')",1404662855.6774087
"('transporter,4Fe-4S', 'single', 'cluster', 'domain')",1404662855.6774087
"('ATP', 'binding', 'calcium', 'ion')",1399552024.873796
"('COG', 'NOG27661', 'non', 'supervised')",1378483184.596082
"('COG', 'NOG34358', 'non', 'supervised')",1378483184.596082
"('COG', 'NOG31012', 'non', 'supervised')",1378483184.596082
"('COG', 'NOG28036', 'non', 'supervised')",1378483184.596082
"('COG', 'NOG27649', 'non', 'supervised')",1378483184.596082
"('COG', 'NOG26858', 'non', 'supervised')",1378483184.596082
"('COG', 'NOG18757', 'non', 'supervised')",1378483184.596082
"('COG', 'NOG16623', 'non', 'supervised')",1378483184.596082
"('oxidative', 'damage', 'repair', 'enzymes')",1375752036.8076162
"('Packaged', 'DNA', 'stabilization', 'protein')",1356173379.0510614
"('protein', 'E,4Fe-4S', 'iron', 'sulfur')",1349453944.469194
"('Podovirus', 'DNA', 'encapsidation', 'protein')",1348998004.5395997
"('Putative', 'phage', 'serine', 'protease')",1347267903.2736528
"('HTH', 'DNA-binding', 'domain,4Fe-4S', 'iron')",1343606970.621004
"('RNA', 'dependent', 'RNA', 'polymerase')",1337683020.7759356
"('binding', 'transcription', 'factor', 'activity')",1336086782.168972
"('lysine', 'biosynthetic', 'process', 'via')",1331876682.7702312
"('MAP', 'kinase', 'kinase', 'kinase')",1327904083.3747308
"('conjugative', 'transfer', 'system', 'lipoprotein')",1327145704.4632034
"('intein', 'hint', 'domain', 'protein')",1318691686.722932
"('DHR', 'GLGF', 'domain', 'protein')",1318691658.7818027
"('SpoIID', 'LytB', 'domain', 'protein')",1318691658.7818027
"('Phage', 'derived', 'protein', 'Gp49-like')",1301843298.2762
"('Capsular', 'polysaccharide', 'biosynthesis', 'protein')",1295429212.5026155
"('protein', '2,2-oxoacid', 'acceptor', 'oxidoreductase')",1293889205.7689028
"('PFAM', 'Ferredoxin', 'thioredoxin', 'reductase')",1291974383.4735305
"('COG1191', 'DNA-directed', 'RNA', 'polymerase')",1280432463.501014
"('component', 'signalling', 'adaptor', 'domain')",1278670650.5946898
"('COG3497', 'Phage', 'tail', 'sheath')",1269255066.021201
"('DNA-binding', 'helix-turn-helix', 'protein,23S', 'rRNA-intervening')",1263357726.6872969
"('aldo', 'keto', 'reductase', 'family')",1258723530.0719543
"('polymerase', 'transcription', 'elongation', 'past')",1256753440.8423817
"('II/IV', 'secretion', 'system', 'protein')",1253419876.2595928
"('The', 'AddB', 'nuclease', 'domain')",1253398582.3449233
"('lipolytic', 'protein', 'G-D-S-L', 'family')",1253189290.508259
"('ycfS', 'ynhG', 'family', 'protein')",1253188917.3752377
"('MobA', 'MobL', 'family', 'protein')",1253188917.3752377
"('phosphatidylinositol-4-phosphate', '5-kinase', 'family', 'protein')",1253188917.3752377
"('YcfS', 'YnhG', 'family', 'protein')",1253188917.3752377
"('CobW', 'P47K', 'family', 'protein')",1253188917.3752377
"('Mg2', 'transporter-C', 'family', 'protein')",1253188917.3752377
"('5-kinase', 'family', 'protein', 'K00889')",1253188917.3752377
"('KamA', 'family', 'protein', 'HI_0329')",1253188917.3752377
"('MmgE', 'PrpD', 'family', 'protein')",1253188917.321995
"('family', 'protein', 'VC2772', 'imported')",1253188917.2079442
"('2/3', 'transmembrane', 'domain', 'holin')",1249895809.699387
"('IstB-like', 'ATP', 'binding', 'protein')",1243196651.1152627
"('PFAM', 'Restriction', 'endonuclease', 'BamHI')",1236731484.168464
"('tail', 'assembly', 'chaperone', 'proteins')",1233645243.8365488
"('GPW', 'Gp25', 'family', 'protein')",1223196037.0648623
"('COG0768', 'Cell', 'division', 'protein')",1184938514.0788212
"('Transcriptional', 'regulator', 'PadR-like', 'family')",1174297824.28896
"('measure', 'protein,4Fe-4S', 'iron', 'sulfur')",1173945536.0858965
"('Terminase', 'RNAseH', 'like', 'domain')",1147709518.344379
"('non', 'supervised', 'orthologous', ""group,5'-3"")",1143297385.3860087
"('non', 'supervised', 'orthologous', 'group,3D')",1143297385.3860087
"('non', 'supervised', 'orthologous', 'group,4Fe-4S')",1143297385.3860087
"('NOG25193', 'non', 'supervised', 'orthologous')",1143297385.3860083
"('NOG25284', 'non', 'supervised', 'orthologous')",1143297385.3860083
"('NOG23407', 'non', 'supervised', 'orthologous')",1143297385.3860083
"('NOG28168', 'non', 'supervised', 'orthologous')",1143297385.3860083
"('NOG25714', 'non', 'supervised', 'orthologous')",1143297385.3860083
"('NOG26086', 'non', 'supervised', 'orthologous')",1143297385.3860083
"('NOG26934', 'non', 'supervised', 'orthologous')",1143297385.3860083
